step,action,code,prediction,outcome,status,valence,i_length,e_length,nb_schemas
43,sniff_left,2,0,0,success,-1,1,1,187
44,sniff_front,0,0,3,fail,-1,1,0,191
45,sniff_right,3,0,3,fail,-1,1,0,194
46,sniff_right,3,0,3,fail,-1,1,0,198
47,turn_right,4,0,1,fail,-3,1,0,202
48,forward,1,0,3,fail,-10,1,0,206
49,turn_right,4,0,2,fail,-1,1,0,210
50,sniff_left,2,0,3,fail,-1,1,0,214
51,turn_left,5,0,0,success,-5,1,1,218
52,sniff_front,0,0,3,fail,-1,1,0,222
53,sniff_front,0,0,3,fail,-1,1,0,225
54,sniff_left,2,0,3,fail,-1,1,0,226
55,sniff_front,0,0,3,fail,-1,1,0,227
56,sniff_right,3,3,2,fail,-1,1,0,227
57,forward,1,0,3,fail,-10,1,0,231
58,turn_left,5,0,1,fail,-3,1,0,235
59,forward,1,0,3,fail,-10,1,0,239
60,sniff_front,0,0,3,fail,-1,1,0,242
61,turn_left,5,1,2,fail,-1,1,0,246
62,sniff_front,0,0,0,success,-1,1,1,250
63,sniff_front,0,0,0,success,-1,1,1,254
64,forward,1,0,0,success,-1,1,1,258
65,turn_right,4,0,2,fail,-1,1,0,262
66,sniff_right,3,0,2,fail,-1,1,0,266
67,sniff_left,2,0,3,fail,-1,1,0,270
68,sniff_left,2,0,3,fail,-1,1,0,273
69,sniff_right,3,0,2,fail,-1,1,0,277
70,sniff_right,3,0,2,fail,-1,1,0,281
71,turn_right,4,0,2,fail,-1,1,0,285
72,turn_right,4,0,0,success,-5,1,1,289
73,sniff_front,0,0,3,fail,-1,1,0,293
74,sniff_front,0,0,3,fail,-1,1,0,296
75,sniff_left,2,0,2,fail,-1,1,0,297
76,forward,1,0,3,fail,-10,1,0,301
77,sniff_left,2,0,2,fail,-1,1,0,305
78,sniff_left,2,0,2,fail,-1,1,0,309
79,sniff_right,3,0,3,fail,-1,1,0,313
80,turn_left,5,0,2,fail,-1,1,0,317
81,forward,1,0,0,success,-1,1,1,321
82,turn_left,5,0,1,fail,-3,1,0,325
83,sniff_left,2,0,0,success,-1,1,1,329
84,forward,1,0,3,fail,-10,1,0,333
85,sniff_right,3,0,3,fail,-1,1,0,336
86,sniff_front,0,0,3,fail,-1,1,0,339
87,sniff_right,3,0,3,fail,-1,1,0,342
88,sniff_left,2,0,0,success,-1,1,1,345
89,sniff_left,2,0,0,success,-1,1,1,349
90,sniff_right,3,0,3,fail,-1,1,0,353
91,sniff_right,3,0,3,fail,-1,1,0,356
92,turn_left,5,2,2,success,-1,1,1,359
93,sniff_left,2,0,2,fail,-1,1,0,363
94,turn_right,4,0,0,success,-5,1,1,367
95,forward,1,0,3,fail,-10,1,0,371
96,turn_right,4,0,1,fail,-3,1,0,375
97,sniff_left,2,0,3,fail,-1,1,0,379
98,turn_right,4,0,2,fail,-1,1,0,382
99,turn_left,5,0,0,success,-5,1,1,386
100,forward,1,0,3,fail,-10,1,0,390
101,sniff_front,0,0,3,fail,-1,1,0,393
102,turn_right,4,1,2,fail,-1,1,0,396
103,sniff_front,0,0,2,fail,-1,1,0,397
104,forward,1,2,0,fail,-1,3,0,397
105,sniff_front,0,0,3,fail,-1,1,0,400
106,turn_left,5,0,2,fail,-1,1,0,403
107,sniff_right,3,0,3,fail,-1,1,0,407
108,sniff_front,0,0,2,fail,-1,1,0,411
109,forward,1,2,0,fail,-1,3,0,414
110,forward,1,0,0,success,-1,1,1,415
111,sniff_left,2,0,0,success,-1,1,1,419
112,turn_right,4,0,1,fail,-3,1,0,423
113,sniff_right,3,0,2,fail,-1,1,0,427
114,turn_left,5,0,1,fail,-3,1,0,431
115,sniff_right,3,0,3,fail,-1,1,0,435
116,sniff_left,2,0,0,success,-1,1,1,438
117,turn_left,5,0,2,fail,-1,1,0,442
118,turn_right,4,0,0,success,-5,1,1,446
119,sniff_left,2,0,0,success,-1,1,1,450
120,sniff_front,0,0,3,fail,-1,1,0,453
121,sniff_front,0,0,3,fail,-1,1,0,456
122,sniff_left,2,3,0,fail,-1,1,0,460
123,sniff_left,2,0,0,success,-1,1,1,463
124,sniff_right,3,3,3,success,-1,1,1,464
125,sniff_right,3,0,3,fail,-1,1,0,464
126,turn_left,5,2,2,success,-1,1,1,464
127,turn_left,5,0,2,fail,-1,1,0,468
128,sniff_front,0,0,2,fail,-1,1,0,472
129,forward,1,2,0,fail,-1,3,0,475
130,sniff_right,3,0,3,fail,-1,1,0,478
131,sniff_front,0,0,0,success,-1,1,1,482
132,sniff_left,2,0,2,fail,-1,1,0,486
133,turn_left,5,0,2,fail,-1,1,0,490
134,forward,1,0,2,fail,10,1,0,494
135,sniff_front,0,2,2,success,-1,3,1,494
136,forward,1,2,0,fail,-1,3,1,498
137,turn_right,4,2,2,success,-1,1,1,502
138,forward,1,0,2,fail,10,1,0,506
139,sniff_front,0,2,2,success,-1,3,1,506
140,forward,1,2,2,success,10,3,2,506
141,sniff_front,0,2,2,success,-1,3,3,509
142,forward,1,2,2,success,10,3,1,509
143,sniff_front,0,2,2,success,-1,3,2,509
144,forward,1,0,2,fail,10,3,2,514
145,sniff_front,0,2,2,success,-1,6,1,514
146,forward,1,2,2,success,10,6,2,514
147,sniff_front,0,2,2,success,-1,6,3,514
148,forward,1,2,2,success,10,6,4,514
149,sniff_front,0,2,2,success,-1,6,5,514
150,forward,1,2,2,success,10,6,6,518
151,sniff_front,0,2,2,success,-1,6,1,518
152,forward,1,2,2,success,10,6,2,518
153,sniff_front,0,2,2,success,-1,6,3,518
154,forward,1,2,2,success,10,6,4,518
155,sniff_front,0,2,2,success,-1,6,5,518
156,forward,1,2,2,success,10,6,6,521
157,sniff_front,0,2,2,success,-1,6,1,521
158,forward,1,2,2,success,10,6,2,521
159,sniff_front,0,2,2,success,-1,6,3,521
160,forward,1,2,2,success,10,6,4,521
161,sniff_front,0,2,2,success,-1,6,5,521
162,forward,1,2,2,success,10,6,6,523
163,sniff_front,0,2,2,success,-1,6,1,523
164,forward,1,2,0,fail,-1,6,1,527
165,turn_right,4,2,1,fail,-3,2,0,531
166,turn_right,4,0,2,fail,-1,1,0,535
167,forward,1,2,0,fail,-1,4,0,538
168,turn_right,4,2,0,fail,-5,1,0,542
169,sniff_right,3,0,2,fail,-1,1,0,546
170,sniff_front,0,0,3,fail,-1,1,0,549
171,sniff_right,3,2,2,success,-1,1,1,552
172,sniff_left,2,0,0,success,-1,1,1,556
173,turn_left,5,0,2,fail,-1,1,0,559
174,forward,1,2,0,fail,-1,3,0,562
175,sniff_front,0,0,0,success,-1,1,1,566
176,sniff_right,3,0,0,success,-1,1,1,570
177,forward,1,0,0,success,-1,1,1,574
178,forward,1,0,0,success,-1,1,1,577
179,sniff_left,2,3,3,success,-1,1,1,578
180,sniff_front,0,0,0,success,-1,1,1,582
181,turn_right,4,0,0,success,-5,1,1,586
182,turn_right,4,0,2,fail,-1,1,0,590
183,forward,1,2,2,success,10,4,1,590
184,sniff_front,0,2,2,success,-1,4,2,590
185,forward,1,2,2,success,10,4,3,590
186,sniff_front,0,2,2,success,-1,4,4,593
187,forward,1,2,2,success,10,9,1,593
188,sniff_front,0,2,2,success,-1,9,2,593
189,forward,1,2,0,fail,-1,9,2,597
190,sniff_right,3,0,3,fail,-1,1,0,601
191,sniff_left,2,0,2,fail,-1,1,0,605
192,turn_left,5,2,2,success,-1,2,1,605
193,forward,1,2,0,fail,-1,2,1,609
194,sniff_right,3,3,2,fail,-1,1,0,613
195,sniff_right,3,0,2,fail,-1,1,0,616
196,turn_right,4,0,2,fail,-1,1,0,617
197,forward,1,2,2,success,10,7,1,617
198,sniff_front,0,2,2,success,-1,7,2,617
199,forward,1,2,0,fail,-1,7,2,621
200,turn_right,4,2,2,success,-1,2,1,621
201,forward,1,2,2,success,10,2,2,624
202,sniff_front,0,2,2,success,-1,6,1,624
203,forward,1,2,2,success,10,6,2,624
204,sniff_front,0,2,2,success,-1,6,3,624
205,forward,1,2,0,fail,-1,6,3,628
206,sniff_right,3,3,2,fail,-1,1,0,632
207,turn_right,4,2,2,success,-1,4,1,632
208,forward,1,2,2,success,10,4,2,632
209,sniff_front,0,2,2,success,-1,4,3,632
210,forward,1,0,0,success,-1,4,4,635
211,turn_right,4,2,1,fail,-3,6,0,639
212,turn_left,5,0,1,fail,-3,1,0,643
213,turn_right,4,0,1,fail,-3,1,0,647
214,sniff_front,0,0,3,fail,-1,1,0,650
215,turn_right,4,0,2,fail,-1,1,0,653
216,forward,1,2,0,fail,-1,7,0,656
217,sniff_right,3,3,3,success,-1,1,1,657
218,sniff_right,3,3,3,success,-1,1,1,660
219,turn_right,4,1,0,fail,-5,1,0,664
220,turn_right,4,2,2,success,-1,5,1,664
221,forward,1,2,0,fail,-1,5,1,668
222,sniff_front,0,0,3,fail,-1,1,0,672
223,turn_left,5,2,2,success,-1,1,1,675
224,forward,1,2,2,success,10,3,1,675
225,sniff_front,0,2,2,success,-1,3,2,675
226,forward,1,0,0,success,-1,3,3,678
227,turn_right,4,2,2,success,-1,6,1,678
228,forward,1,2,2,success,10,6,2,678
229,sniff_front,0,2,2,success,-1,6,3,678
230,forward,1,2,2,success,10,6,4,678
231,sniff_front,0,2,2,success,-1,6,5,678
232,forward,1,0,0,success,-1,6,6,681
233,sniff_right,3,2,0,fail,-1,5,0,685
234,sniff_left,2,0,2,fail,-1,1,0,689
235,turn_left,5,2,2,success,-1,2,1,689
236,forward,1,0,2,fail,10,2,1,692
237,sniff_front,0,2,2,success,-1,6,1,692
238,forward,1,2,0,fail,-1,6,1,695
239,turn_right,4,2,1,fail,-3,2,0,698
240,sniff_left,2,0,3,fail,-1,1,0,701
241,sniff_left,2,3,3,success,-1,1,1,704
242,sniff_right,3,0,0,success,-1,1,1,705
243,sniff_left,2,2,3,fail,-1,3,0,709
244,turn_right,4,2,2,success,-1,1,1,712
245,forward,1,2,0,fail,-1,7,0,713
246,sniff_front,0,0,0,success,-1,1,1,716
247,turn_left,5,0,0,success,-5,1,1,720
248,sniff_left,2,0,2,fail,-1,1,0,724
249,turn_left,5,2,2,success,-1,4,1,724
250,forward,1,2,0,fail,-1,4,1,727
251,forward,1,0,3,fail,-10,1,0,731
252,sniff_left,2,0,2,fail,-1,1,0,734
253,turn_left,5,2,2,success,-1,4,1,734
254,forward,1,2,2,success,10,4,2,734
255,sniff_front,0,2,2,success,-1,4,3,734
256,forward,1,0,2,fail,10,4,3,739
257,sniff_front,0,2,2,success,-1,6,1,739
258,forward,1,2,2,success,10,6,2,739
259,sniff_front,0,2,2,success,-1,6,3,739
260,forward,1,2,2,success,10,6,4,739
261,sniff_front,0,2,2,success,-1,6,5,739
262,forward,1,2,0,fail,-1,6,5,744
263,forward,1,0,3,fail,-10,1,0,748
264,sniff_left,2,2,3,fail,-1,5,0,751
265,sniff_front,0,0,3,fail,-1,1,0,754
266,turn_left,5,2,1,fail,-3,4,0,757
267,turn_left,5,0,2,fail,-1,1,0,761
268,forward,1,2,0,fail,-1,9,0,764
269,forward,1,0,0,success,-1,1,1,767
270,sniff_left,2,0,3,fail,-1,1,0,768
271,sniff_left,2,3,3,success,-1,1,1,771
272,sniff_right,3,0,3,fail,-1,1,0,775
273,turn_left,5,0,0,success,-5,1,1,779
274,sniff_right,3,0,0,success,-1,1,1,783
275,sniff_left,2,2,2,success,-1,3,1,783
276,turn_left,5,2,2,success,-1,3,2,783
277,forward,1,2,2,success,10,3,3,786
278,sniff_front,0,2,2,success,-1,6,1,786
279,forward,1,2,0,fail,-1,6,1,789
280,turn_left,5,1,1,success,-3,1,1,793
281,sniff_front,0,0,3,fail,-1,1,0,796
282,turn_left,5,2,2,success,-1,4,1,796
283,forward,1,2,0,fail,-1,4,1,800
